rating,name,num,year
9.7,肖申克的救赎,2473050,1994
9.6,霸王别姬,1838345,1993
9.5,阿甘正传,1858484,1994
9.4,这个杀手不太冷,2022260,1994
9.4,泰坦尼克号,1820403,1997
9.6,美丽人生,1139155,1997
9.4,千与千寻,1939444,2001
9.5,辛德勒的名单,949767,1993
9.3,盗梦空间,1786397,2010
9.4,忠犬八公的故事,1227536,2009
9.3,星际穿越,1462496,2014
9.3,楚门的世界,1385329,1998
9.3,海上钢琴师,1451822,1998
9.2,三傻大闹宝莱坞,1626483,2009
9.3,机器人总动员,1145413,2008
9.3,放牛班的春天,1130191,2004
9.3,无间道,1121084,2002
9.2,疯狂动物城,1615515,2016
9.2,大话西游之大圣娶亲,1323914,1995
9.3,熔炉,804126,2011
9.3,教父,808738,1972
9.1,当幸福来敲门,1311942,2006
9.2,龙猫,1095972,1988
9.6,控方证人,402295,1957
9.1,怦然心动,1566585,2010
