com_name,price,com_intro,com_loc
山谷视觉,400,系统界面软件ui后台管理网页设计saas设计erp设计网站,新乡
千翼科技-500人技术团队,2200,CRM企业管理系统开发OA物流办公软件saas进销存ERP,新乡
轻妙视觉,500,软件UI界面web管理系统saas平台后台客户端终端页面设计,新乡
千界科技-国家高企双软企业,1397,支付宝微信公众号小程序商城H5python开发定制作,新乡
由你创-国家双软认证优质服务企业,1500,python数据分析处理java服务工具saas系统软件开发,新乡
桥通天下-国家高新技术企业,18888,定制开发C/S定制开发|软件服务|智能平台|商城系统,新乡
百荣科技-国家高新企业,8000,仓储物流软件出入库数据库IT开发定制saas企业管理系统平台,新乡
千界科技-国家高企双软企业,1397,支付宝微信公众号小程序商城H5python开发定制作,新乡
由你创-国家双软认证优质服务企业,1500,python数据分析处理java服务工具saas系统软件开发,新乡
威之德信息,6800,软件开发企业管理软件开发/saas行业嵌入式工具软件成品定制,新乡
禾马UI,250,软件界面UI网页OA办公智能监测统计系统后台管理设计,新乡
深圳优形科技,39999,java服务工具python数据分析处理saas系统软件开发,新乡
骊光网络科技,1000,北京软件开发|OA saas ERP CRM 功能开发|系统,新乡
千红视觉,480,管理软件界面区块链ui进销存saas界面ERP设计办公ui,新乡
荣鹊科技,2500,开发工具企业管理行业应用嵌入式区块链应用saas成品设计网站,新乡
时尺信科-高企双软ISO9001认证企业,5000,APP开发python软件开发saas数据处理脚本开发app,新乡
智顺科技-国家高新技术企业,3000,企业微信开发-办公小程序教育家校通企微管家saas应用政务,新乡
艺站库设计,600,系统界面软件ui后台管理网页设计saas设计erp设计网站,新乡
掌沃科技有限公司,1200,微信小程序商城带分销系统成品saas软件 包安装支持二次开发,新乡
新网科技-国家高新技术企业,15000,【saas定制开发】C/S定制开发|软件服务|智能平台,新乡
牡蛎品牌策划,4000,教育社交电商移动APP数据分析物联网saas软件安卓定制开发,新乡
大连捷径科技有限公司,3000,行政软件开发|开发OA saas ERP CRM 功能,新乡
上海闻峥-国家高新企业-八戒优质服务商5强,15000,erp管理软件ERP生产系统开发CRM数据saas软件定制,新乡
盈乾信息技术,10000,管理系统开发定制,新乡
庆英科技,4900,App开发晋城共享app定制开发还有摇奖后台,新乡
悦商东方,12000,工具软件企业管理成品软件行业应用软件区域链应用saas切入式,新乡
讯资软件-50人技术团队8年经验南部大区行业之星,5000,企业办公OA系统/ERP系统/软件/saas/erp企业管理,新乡
禾高网络科技旗舰,1999,python数据分析处理java服务工具saas系统软件开发,新乡
聚成网络-国家高新企业双软认证,8000,仓储物流软件出入库数据库IT开发定制saas企业管理系统平台,新乡
麦秸映像IT开发-微信/小程序/app,5000,软件开发/saas/数据库/IT开发/网站定制开发/php,新乡
北号山科技,5980,软件开发/APP定制开发/ERP开发/HR开发/saas系统,新乡
专业软件定制开发拉利法科技,10000,物业贝贝app互联网物业app智慧社区saas平台物业服务,新乡
创世网络网站建设,2000,开发工具企业管理行业应用嵌入式区块链应用saas成品设计网站,新乡
杉林创投,1800,企业级saas服务管理云平台行业创业方案商业计划书融资撰写作,新乡
天迅达科技-国家高新技术企业,2900,小程序开发互联网学校公众号定制设计开saas微网站微信,新乡
指环掌柜,2999,软件定制/成品购买/ERP、CRM、OA、WMS,新乡
骐翔网络10年老店,1688,仓储物流软件出入库数据库IT开发定制saas企业管理系统平台,新乡
艺点意创品牌策划有限公司,5000,app小程序开发APP网站建设软件saas后端python,新乡
盛优科技官方,5999,CRM|OA|saas会员管理系统|定制餐饮开发|进库存系统,新乡
天一视觉传播,420,管理软件界面区块链ui进销存saas界面ERP设计办公ui,新乡
拓冠科技-行业之星服务商,28000,企业管理软件/外贸ERP管理系统/OA/CRM/ERP定制,新乡
光荣网络光荣文创,6800,公司企业网站建设官网网站定制开发网站设计商城网页设计光荣网络,新乡
圣融科技有限公司,2500,网站建设网站开发网站制作企业公司网站H5响应式网站手机微官网,新乡
科威鲸网络-国家高企(12年实体品牌),2890,企业官网站建设定制软件电商外贸开发制作设计响应式营销后端界面,新乡
冰雪网络,3000,企业网站建设定制响应式手机网站开发制作网页设计公司官网门户,新乡
晟轩科技- 入驻15年国家高新技术企业,1000,微信小程序开发招聘点餐生鲜电商超市分销商城拼团小程序H5开发,新乡
网帆科技【12年互联网品牌】,1000,微信小程序分销商城招聘点餐饮跑腿预约系统公众号H5定制作开发,新乡
久鑫网络-久久网络品牌建站(13年老店),2999,企业建网站建设定制后端开发制作手机微商城门户公司网页设计官网,新乡
文纳网络科技,999,公司官网企业网站制作网站建设，h5网站开发/网站设计定制开发,新乡
盛庆策动,1499,网站建设网站定制网站设计PC端移动端全终端定制设计开发,新乡
鼎茂品牌创意10年老店,880,企业官网网站建设H5网页设计制作前端公司定制开发响应式仿建站,新乡
易扬创意设计,200,微信小程序UI界面设计师外包移动应用产品ui设计app美工,新乡
页溪软件-国家双软认证企业,5680,网站建设响应式企业品牌门户官网H5手机移动端网页设计定制开发,新乡
中恒科技 【九年技术团队】,1588,微信小程序公众号平台H5行业微商城餐饮外卖模板定制开发制作,新乡
友软网络科技有限公司,1600,微信小程序微商城H5设计开发游戏支付宝支付小程序定制开发外包,新乡
小跑科技-100人技术团队,5000,【APP开发】商城系统定制/社交电商软件/分销拼团多商户成品,新乡
云淞网络,1899,企业公司官网站建设计自适应网页网站设计制作网站定制开发修改版,新乡
易优中国网页设计建设,700,小程序开发/微信小程序开发/百度小程序开发/支付宝小程序开发,新乡
乐腾网络科技-国家高新技术企业,4999,微信小程序开发分销商城预约拼团公众号H5定制作抖音头条开发,新乡
好网互联,2800,公司企业网站建设网站设计网站制作网站开发 商城电商 网站定制,新乡
广州乐开软件开发有限公司,5000,app定制开发成品APP软件开发手机IOS安卓应用手机软件,新乡
完梦科技-国家高新双软企业软件开发商,1998,app开发定制聊天外卖语音直播软件商城python社交成品,新乡
至信网络科技,1680,H5响应式企业官方公司官网站建设开发建站网页设计制作定制开发,新乡
美好未来✦网站建设,1888,网站建设企业网站制作定制开发手机响应网站优化模板建站网页设计,新乡
